subject,contest,round,scenario,agent,prob,strength,effort
4q283knzudh0,3,1,"L,L;L,L",1,NA,7,85
4q283knzudh0,3,1,"L,L;L,L",2,NA,5,99
4q283knzudh0,3,2,"L,L;L,L",1,80,8,75
4q283knzudh0,3,2,"L,L;L,L",2,45,7,85
4q283knzudh0,3,3,"L,L;L,L",1,100,7,75
4q283knzudh0,3,3,"L,L;L,L",2,100,7,85
4q283knzudh0,4,1,"F,L;F,L",1,NA,4,NA
4q283knzudh0,4,1,"F,L;F,L",2,NA,6,89
4q283knzudh0,4,2,"F,L;F,L",1,48,3,NA
4q283knzudh0,4,2,"F,L;F,L",2,75,8,85
4q283knzudh0,4,3,"F,L;F,L",1,87,3,87
4q283knzudh0,4,3,"F,L;F,L",2,87,7,84
4q283knzudh0,5,1,"F,F;L,L",1,NA,3,NA
4q283knzudh0,5,1,"F,F;L,L",2,NA,4,NA
4q283knzudh0,5,2,"F,F;L,L",1,45,5,90
4q283knzudh0,5,2,"F,F;L,L",2,50,5,90
4q283knzudh0,5,3,"F,F;L,L",1,98,5,80
4q283knzudh0,5,3,"F,F;L,L",2,98,5,80
4q283knzudh0,6,1,"F,L;L,L",1,NA,3,NA
4q283knzudh0,6,1,"F,L;L,L",2,NA,7,75
4q283knzudh0,6,2,"F,L;L,L",1,40,5,100
4q283knzudh0,6,2,"F,L;L,L",2,95,7,80
4q283knzudh0,6,3,"F,L;L,L",1,95,5,82
4q283knzudh0,6,3,"F,L;L,L",2,95,7,78
50fb87vc0wfe,1,1,"F,L;L,L",1,NA,5,NA
50fb87vc0wfe,1,1,"F,L;L,L",2,NA,6,90
50fb87vc0wfe,1,2,"F,L;L,L",1,65,5,80
50fb87vc0wfe,1,2,"F,L;L,L",2,95,6,60
50fb87vc0wfe,1,3,"F,L;L,L",1,90,5,80
50fb87vc0wfe,1,3,"F,L;L,L",2,90,6,60
50fb87vc0wfe,2,1,"F,F;L,L",1,NA,5,NA
50fb87vc0wfe,2,1,"F,F;L,L",2,NA,5,NA
50fb87vc0wfe,2,2,"F,F;L,L",1,60,5,80
50fb87vc0wfe,2,2,"F,F;L,L",2,60,5,80
50fb87vc0wfe,2,3,"F,F;L,L",1,95,5,80
50fb87vc0wfe,2,3,"F,F;L,L",2,95,5,80
50fb87vc0wfe,3,1,"F,F;F,F",1,NA,5,NA
50fb87vc0wfe,3,1,"F,F;F,F",2,NA,5,NA
50fb87vc0wfe,3,2,"F,F;F,F",1,65,4,NA
50fb87vc0wfe,3,2,"F,F;F,F",2,65,4,NA
50fb87vc0wfe,3,3,"F,F;F,F",1,85,4,NA
50fb87vc0wfe,3,3,"F,F;F,F",2,85,4,NA
50fb87vc0wfe,4,1,"F,L;F,L",1,NA,5,NA
50fb87vc0wfe,4,1,"F,L;F,L",2,NA,6,90
50fb87vc0wfe,4,2,"F,L;F,L",1,65,5,NA
50fb87vc0wfe,4,2,"F,L;F,L",2,95,6,60
50fb87vc0wfe,4,3,"F,L;F,L",1,75,5,70
50fb87vc0wfe,4,3,"F,L;F,L",2,75,6,60
50fb87vc0wfe,5,1,"F,F;F,L",1,NA,5,NA
50fb87vc0wfe,5,1,"F,F;F,L",2,NA,5,NA
50fb87vc0wfe,5,2,"F,F;F,L",1,65,5,NA
50fb87vc0wfe,5,2,"F,F;F,L",2,65,5,80
50fb87vc0wfe,5,3,"F,F;F,L",1,80,5,NA
50fb87vc0wfe,5,3,"F,F;F,L",2,80,5,NA
50fb87vc0wfe,6,1,"L,L;L,L",1,NA,6,90
50fb87vc0wfe,6,1,"L,L;L,L",2,NA,6,90
50fb87vc0wfe,6,2,"L,L;L,L",1,95,6,60
50fb87vc0wfe,6,2,"L,L;L,L",2,95,6,60
50fb87vc0wfe,6,3,"L,L;L,L",1,95,6,60
50fb87vc0wfe,6,3,"L,L;L,L",2,95,6,60
519qrhe6zfak,1,1,"L,L;L,L",1,NA,7,60
519qrhe6zfak,1,1,"L,L;L,L",2,NA,7,60
519qrhe6zfak,1,2,"L,L;L,L",1,100,7,80
519qrhe6zfak,1,2,"L,L;L,L",2,100,7,80
519qrhe6zfak,1,3,"L,L;L,L",1,100,7,70
